"","matrix.nrow...nrow.hiData..","A.BANGKOK.01.1979","A.BEIJING.32.1992","A.FUJIAN.411.2002","A.WISCONSIN.67.2005","A.BRISBANE.10.2007","A.PERTH.16.2009","A.VICTORIA.361.2011","A.SWITZERLAND.9715293.2013","A.HONGKONG.4801.2014","A.SWINE.NEWYORK.A01104005.2011","A.SWINE.IOWA.A01480656.2014","A.SWINE.MISSOURI.A01410819.2014","A.WUHAN.359.1995","A.SWINE.TEXAS.4199.2.1998","A.SWINE.MINNESOTA.02782.2009","A.SWINE.INDIANA.A01729045.2016","A.SWINE.ALBERTA.SD0038.2014","A.SWINE.ALBERTA.SD0049.2014","A.SWINE.SASKATCHEWAN.SD0059.2014","A.SWINE.SASKATCHEWAN.SD0065.2014","A.SWINE.SASKATCHEWAN.SD0069.2015","A.VICTORIA.3.1975","A.PHILIPPINES.2.1982","A.SICHUAN.02.1987","A.PORTCHALMERS.1.1973","A.TURKEY.OHIO.313053.2004","A.SWINE.INDIANA.A01202866.2011","A.TEXAS.1.1977","A.LENINGRAD.360.1986","A.SHANGHAI.11.1987","A.BEIJING.353.1989","A.SYDNEY.5.1997","A.MOSCOW.10.1999","A.SWINE.TEXAS.4199.1.1998","A.SWINE.COLORADO.23619.1999","A.SWINE.MINNESOTA.1146.2006","A.SWINE.IOWA.1700.2007","A.SWINE.MINNESOTA.2782.2009","A.SWINE.ILLINOIS.2970.2009","A.INDIANA.8.2011","A.SWINE.INDIANA.A00968373.2012","A.SWINE.ILLINOIS.A01201606.2011","A.SWINE.IOWA.A01202613.2011","A.SWINE.IOWA.A01049750.2011","A.SWINE.TEXAS.A01049914.2011","A.SWINE.MICHIGAN.A01432375.2013","A.SWINE.IOWA.A01432500.2013","A.SWINE.MINNESOTA.A01432544.2013","A.SWINE.MINNESOTA.A01280592.2013","A.SWINE.WYOMING.A01444562.2013"
"44","A/BEIJING/353/1989",4.77214959078454,1.77082904603249,6.6667565918848,6.81538329581354,8.03809592468451,7.00075120805701,6.92461458947681,6.16691625156997,NA,5.36194377373524,4.95419631038688,7.86974805146507,3.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,5.32192809488736,5.41503749927884,1.41503749927884,4.58496250072116,NA,NA,5,1,0.584962500721156,0,5.52160043972373,6.08480838780436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","A/SYDNEY/5/1997",4.18718709006339,2.18586654531133,1.49382910228097,NA,5.83646206351486,7.58571370877817,NA,4.75187875229113,NA,NA,2.53915881110803,6.86974805146507,0.207911834595707,NA,NA,NA,NA,NA,NA,NA,NA,4.32192809488736,6,3.41503749927884,3,NA,NA,4.58496250072116,3,2.58496250072116,2.73696559416621,0,1.9534658486811,5.68402662825026,NA,NA,4.762880292917,4.60156446805829,NA,6.58496250072116,8.32192809488736,NA,7.15880896924814,6,NA,NA,NA,NA,NA,NA
"46","A/VICTORIA/3/1975",3.45022149589718,NA,NA,NA,8.03809592468451,7.58571370877817,8.50957709019796,4.75187875229113,NA,5.36194377373524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,5,0.999999999999999,NA,NA,0.999999999999999,NA,2.58496250072116,5.32192809488736,6.93663793900257,7.08480838780436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","A/TEXAS/1/1977",2.77214959078454,3.77082904603249,6.6667565918848,NA,7.03809592468451,5.58571370877816,7.92461458947681,4.75187875229113,NA,3.36194377373524,5.53915881110803,7.86974805146507,3.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,1,3.67807190511264,4,3.58496250072116,NA,NA,0,4,4,3.73696559416621,5.52160043972373,6.08480838780436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","A/PHILIPPINES/2/1982",2.18718709006339,3.18586654531133,5.6667565918848,5.81538329581354,5.45313342396336,5.58571370877816,6.92461458947681,5.75187875229113,NA,3.04001567884788,NA,6.13278245729886,2.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,3.73696559416621,0,0.999999999999999,3,NA,NA,4,0.263034405833794,-0.736965594166207,3,3.52160043972373,5.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","A/LENINGRAD/360/1986",2.77214959078454,3.77082904603249,7.08179409116365,7.81538329581354,7.45313342396336,7.00075120805701,7.50957709019796,7.16691625156997,NA,3.36194377373524,NA,6.86974805146507,4.51096191927738,NA,NA,NA,NA,NA,NA,NA,NA,4.73696559416621,1,2.41503749927884,3,NA,NA,4.58496250072116,0,0.584962500721156,5.32192809488736,5.93663793900257,7.08480838780436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","A/SWINE/TEXAS/4199/1/1998",NA,NA,NA,7.81538329581354,7.03809592468451,7.58571370877817,NA,NA,NA,4.36194377373524,NA,8.45471055218622,0.39659489432538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91488338636205,NA,NA,NA,NA,5.69378141510641,5.31927364144138,0,NA,NA,4.4998458870832,3.7714894695006,5,6.58496250072116,7.32192809488736,NA,5.85214763101409,3.72201525270023,3.18718709006339,NA,NA,NA,NA,NA
"51","A/SWINE/COLORADO/23619/1999",NA,NA,0.666756591884804,6.23042079509238,4.45313342396336,NA,NA,NA,NA,5.36194377373524,NA,1.45471055218622,3.33463914663692,2.27146302790437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.84449405847065,NA,NA,NA,NA,2.52160043972373,2.08480838780436,4.50096052711988,NA,NA,2.68906005962533,3.59556572743684,5,NA,6.32192809488736,NA,3.4998458870832,4,4.18718709006339,NA,NA,NA,6.58496250072116,NA
"52","A/SWINE/MINNESOTA/1146/2006",NA,NA,NA,NA,NA,6.58571370877816,NA,NA,NA,1.73258715365563,NA,NA,5.1548181090521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41503749927884,5.7556847915128,NA,NA,NA,NA,NA,5.4998458870832,6.86459887389208,NA,NA,1.64768054353155,1.43788684123232,2.56704059272389,4.2203900684253,3.14600435282361,3.90689059560852,2.7132495251924,2.18237674248857,1.83668984297925,NA,5,NA,NA,NA
"53","A/SWINE/IOWA/1700/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09141483135452,NA,8.45471055218622,4.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.98888396780583,NA,NA,NA,NA,NA,7.08480838780436,6.26052755022322,NA,NA,0,1.27164358241739,1.22917095396751,4.30697775342139,4.23871472663838,NA,2.99946871844699,2.91253715874966,3.49416484348478,NA,NA,NA,NA,NA
"54","A/SWINE/MINNESOTA/2782/2009",NA,NA,NA,NA,NA,7.58571370877817,NA,NA,NA,0.776981273014085,NA,NA,4.39993060688864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56438613927792,NA,NA,NA,NA,NA,5.59938156063412,3.68614980014323,NA,NA,-0.686681081696237,0,-0.501439145158873,3.31443355834044,3.32192809488736,4.58496250072116,2.08480838780436,1.22917095396751,1.68893622253556,NA,NA,NA,NA,NA
"55","A/SWINE/ILLINOIS/2970/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36194377373524,NA,NA,5.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4998458870832,NA,NA,NA,NA,NA,6.59938156063412,7.00595472313762,NA,NA,1.99946871844699,1.50002644159622,0,4.81942775435818,4.23871472663838,NA,3.648513267965,4.9296106721086,5.2867227636143,NA,NA,NA,NA,NA
"56","A/SWINE/PENNSYLVANIA/A01076777/2010",NA,NA,NA,NA,7.55266909751427,5.82017896241519,6.1876489953106,NA,NA,-0.97165885453304,NA,NA,5.56985560833095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32192809488736,NA,NA,NA,NA,NA,6.08480838780436,5.18652696877944,NA,NA,-0.186654640100013,0.834851530498028,1.72947105761928,-0.415037499278844,1.4036611357948,1.43928504552552,1.02303219021767,1.55705650415127,2.73652568105382,NA,NA,NA,NA,NA
"57","A/INDIANA/8/2011",NA,NA,NA,NA,7.03809592468451,6.51532438088677,7.1876489953106,NA,NA,-0.638056226264759,NA,NA,5.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41238304583287,NA,NA,NA,NA,NA,6.01441905991296,7.18652696877944,NA,NA,1.58496250072116,1.68668108169624,NA,0,2.05046506698299,3.58496250072116,4.26207823985984,3.48903808072262,4.50911518495075,NA,NA,NA,NA,NA
"58","A/SWINE/INDIANA/A00968373/2012",NA,NA,7.6667565918848,7.3299564686433,5.37133933279971,5.82017896241519,5.93668742177738,NA,NA,-1.63805622626476,NA,8.45471055218622,3.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99840674192433,NA,NA,NA,NA,NA,5.31927364144138,3.33519434966124,NA,NA,1.08480838780436,0.500026441596225,2.41503749927884,0.584962500721156,0,1.76733924320973,1.762880292917,1.3275746580285,1.68893622253556,NA,NA,NA,NA,NA
"59","A/SWINE/ILLINOIS/A01241469/2012",NA,NA,NA,NA,NA,7.00075120805701,6.1876489953106,NA,NA,-0.137902113347964,NA,NA,5.24792751344359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22931694470249,NA,NA,NA,NA,NA,NA,3.44956137461324,NA,NA,0.499845887083206,1.7714894695006,NA,1.58496250072116,1,3.58496250072116,2.91488338636205,2.83007499855769,2.50162064840382,NA,NA,NA,NA,NA
"60","A/SWINE/MICHIGAN/A01259000/2012",NA,NA,NA,NA,8.03809592468451,7.58571370877817,7.50957709019796,NA,NA,0.589794182950698,NA,NA,5.24792751344359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99840674192433,NA,NA,NA,NA,NA,NA,5.00066042346811,NA,NA,1.81334535989999,2.7714894695006,5,1.31256599168367,1.58721847466152,3.26303440583379,1.91488338636205,2.67807190511264,2.77214959078454,NA,NA,NA,NA,NA
"61","A/SWINE/INDIANA/A01202866/2011",NA,NA,NA,NA,NA,6.58571370877816,7.50957709019796,NA,NA,2.59111472770275,NA,NA,5.3474631869945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6.59938156063412,5.50096052711988,NA,NA,3.26207823985984,3.60156446805829,NA,NA,4.32192809488736,NA,5.57384646852698,2.91253715874966,3.33919018350844,NA,NA,NA,NA,NA
"62","A/SWINE/ILLINOIS/A01201606/2011",NA,NA,NA,NA,NA,5.3077289614784,6.37207356644803,NA,NA,0.276604104377871,NA,7.45471055218622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22186113978344,NA,NA,NA,NA,NA,NA,8.7714894695006,NA,NA,2.762880292917,4.00066042346811,3,2.81413345468867,2.73696559416621,0,1.49984588708321,4.67807190511264,4.18718709006339,NA,NA,NA,NA,NA
"63","A/SWINE/IOWA/A01202613/2011",NA,NA,NA,7.81538329581354,NA,6.00075120805701,7.07661768292186,NA,NA,1.59111472770275,NA,NA,5.3474631869945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91488338636205,NA,NA,NA,NA,7.52160043972373,5.59938156063412,6.68402662825026,NA,NA,0.762880292916998,2.44956137461324,3.23446525363702,3.49749965947082,3.32192809488736,3,0,1.7635073816187,3.6846867495342,NA,NA,NA,NA,NA
"64","A/SWINE/IOWA/A01202889/2011",NA,NA,NA,NA,NA,6.00075120805701,6.56471864439043,NA,NA,0.361943773735241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.98888396780583,NA,NA,NA,NA,NA,7.08480838780436,7.28606264233036,NA,NA,1,2.27164358241739,2.22389601192684,2.58496250072116,4.05139915250664,1.31443355834044,1,2.76733924320972,3.94433056616722,NA,NA,NA,NA,NA
"65","A/SWINE/IOWA/A01203196/2012",NA,NA,NA,NA,NA,7.58571370877817,NA,NA,NA,5.59640902737226,NA,NA,2.7454271729144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76378225921139,NA,NA,NA,NA,NA,NA,5.00066042346811,NA,NA,3.762880292917,4.18652696877944,3.23446525363702,NA,6.08926733809709,4.32192809488736,2.99946871844699,2.41503749927884,3.827291144977,NA,NA,NA,NA,NA
"66","A/SWINE/IOWA/A01049750/2011",NA,NA,NA,7.81538329581354,7.45313342396336,7.58571370877817,8.50957709019796,NA,NA,0.0904807458308667,NA,NA,3.24792751344359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41450621772583,NA,NA,NA,NA,7.25856603388993,4.8068236405046,2.7714894695006,NA,NA,0.499845887083206,0.500026441596225,2.41503749927884,3.58496250072116,2.38529015588479,3.58496250072116,2.08480838780436,0,0.187187090063388,NA,NA,NA,NA,NA
"67","A/SWINE/TEXAS/A01049914/2011",NA,NA,NA,NA,8.03809592468451,7.58571370877817,8.02415026302772,NA,NA,0.776981273014085,NA,NA,3.39993060688864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56203071827979,NA,NA,NA,NA,NA,4.99734554655402,2.99933987871606,NA,NA,0.499845887083206,0.771489469500599,2.41503749927884,3.58496250072116,2.73696559416621,4.09953567355091,2.08480838780436,0,0,NA,NA,NA,NA,NA
"68","A/SWINE/ILLINOIS/A01241066/2012",NA,NA,NA,NA,8.03809592468451,6.58571370877816,8.50957709019796,NA,NA,0.776981273014085,NA,NA,3.24792751344359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91488338636205,NA,NA,NA,NA,NA,6.08480838780436,2.99933987871606,NA,NA,0.499845887083206,0.771489469500599,2.06454025219471,2.58496250072116,2.73696559416621,3.58496250072116,2.81241187876688,0.415037499278844,0.499753081747057,NA,NA,NA,NA,NA
"69","A/SWINE/NEBRASKA/A01241171/2012",NA,NA,6.5963672639934,7.81538329581354,7.55266909751427,7.58571370877817,NA,NA,NA,5.36194377373524,NA,NA,2.7454271729144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4998458870832,NA,NA,NA,NA,NA,6.01441905991296,4.44956137461324,NA,NA,6.25698936318704,6.49350472220083,NA,5.58496250072116,8.32192809488736,NA,8.08480838780436,3.18237674248857,5.77214959078454,NA,NA,NA,NA,NA
"70","A/SWINE/IOWA/A01203121/2012",NA,NA,NA,NA,8.03809592468451,7.58571370877817,NA,NA,NA,1.36194377373524,NA,NA,4.24792751344359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.76649154646938,NA,NA,NA,NA,NA,6.08480838780436,3.68614980014323,NA,NA,1.08480838780436,1,3.23446525363702,3.08671163319333,3.55109904885487,4.09953567355091,2.99946871844699,0.415037499278844,0.499753081747057,NA,NA,NA,NA,NA
"71","A/SWINE/IOWA/A01300195/2012",NA,NA,7.6667565918848,6.23042079509238,2.60180080484515,3.58571370877816,3.57176192139455,NA,NA,-0.409545695765358,NA,NA,5.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91488338636205,NA,NA,NA,NA,NA,NA,6.68402662825026,NA,NA,2.49984588708321,2.50002644159622,4.51457317282976,2.08671163319333,1.73696559416621,1.14533936316404,1.762880292917,2.06454025219471,2.60222458934223,NA,NA,NA,NA,NA
"72","A/SWINE/MINNESOTA/A01125993/2012",NA,NA,7.18132976471456,NA,5.03809592468451,5.00075120805701,6.92461458947681,NA,NA,2.36194377373524,NA,NA,3.66296501272243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4998458870832,NA,NA,NA,NA,6.52160043972373,NA,5.99538548142743,NA,NA,4.58655752027654,5.68402662825026,NA,4.26303440583379,5.5458241068142,4.58496250072116,4.91488338636205,3.91253715874966,3.77214959078454,NA,NA,NA,NA,NA
"73","A/SWINE/MINNESOTA/A01300213/2012",NA,NA,7.6667565918848,NA,7.77506151885072,5.00075120805701,5.92461458947681,NA,NA,0.361943773735241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91488338636205,NA,NA,NA,NA,NA,NA,8.18652696877944,NA,NA,2.49984588708321,2.99933987871606,3.05514155419246,1.58496250072116,2.73696559416621,3,2.49984588708321,4.25583890442959,4.84615017222832,NA,NA,NA,NA,NA
"74","A/SWINE/MINNESOTA/A01327922/2012",NA,NA,7.6667565918848,NA,5.22047266717308,5.00075120805701,5.1876489953106,NA,NA,0.361943773735241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4998458870832,NA,NA,NA,NA,NA,NA,8.28606264233036,NA,NA,1.99946871844699,2.7714894695006,3,3,1.73696559416621,2.64010405491362,1.81334535989999,3.3332434081152,4.02798849521413,NA,NA,NA,NA,NA
"75","A/SWINE/IOWA/A01432500/2013",NA,NA,NA,NA,NA,NA,8.50957709019796,NA,NA,5.77698127301408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.32192809488736,NA,5.4998458870832,4.67807190511264,4.77214959078454,NA,0,NA,5.41503749927884,NA
"76","A/SWINE/MINNESOTA/A01432544/2013",NA,NA,NA,NA,NA,NA,4.92461458947681,NA,NA,-0.223018726985915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49984588708321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32192809488736,0,0.762880292916998,2.41503749927884,2.45022149589718,NA,6,0,0,NA
"77","A/SWINE/MINNESOTA/A01280592/2013",NA,NA,NA,NA,NA,NA,5.92461458947681,NA,NA,-0.638056226264759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49984588708321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.58496250072116,1.762880292917,-0.169925001442312,1.60222458934223,NA,7,4,0,NA
"78","A/SWINE/MINNESOTA/1146/2006",NA,NA,NA,NA,NA,7.00075120805701,NA,NA,NA,2.17607722842391,4.83871909296694,8.45471055218622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77118130950412,5.74495838491974,NA,NA,NA,NA,NA,5.08480838780436,6.40691703720474,NA,NA,1.08480838780436,1.62887181405402,1.41503749927884,3.87346759407107,3.55109904885487,4.58496250072116,1.81334535989999,2.06454025219471,2.22989154101762,NA,4.75207248655641,5.91253715874966,4.58496250072116,4.78276928377933
"79","A/SWINE/MINNESOTA/A01125993/2012",NA,NA,NA,NA,NA,NA,7.92461458947681,NA,NA,3.36194377373524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91488338636205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73696559416621,3.58496250072116,3.04041426844591,4.41503749927884,5.18718709006339,NA,3.41503749927884,4,2,NA
"80","A/SWINE/NORTHCAROLINA/A01432566/2013",NA,NA,NA,NA,NA,NA,7.50957709019796,NA,NA,1.77698127301408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17791779219584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15200309344505,4.58496250072116,7.4998458870832,4.41503749927884,4.77214959078454,NA,2.41503749927884,7,7.58496250072116,NA
"81","A/SWINE/MICHIGAN/A01203498/2012",NA,NA,NA,NA,NA,NA,8.50957709019796,NA,NA,2.04001567884788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91488338636205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23446525363702,4,2.08480838780436,2.67807190511264,4.45022149589718,NA,3.41503749927884,5.67807190511264,3.58496250072116,NA
"82","A/SWINE/NEBRASKA/A01271549/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.36194377373524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.49984588708321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.32192809488736,NA,8.08480838780436,6,NA,NA,1,NA,7.58496250072116,NA
"83","A/TURKEY/OHIO/313053/2004",NA,NA,NA,NA,NA,NA,8.50957709019796,NA,NA,1.04001567884788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4998458870832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32192809488736,4.58496250072116,2.762880292917,2.41503749927884,1.18718709006339,NA,4.41503749927884,6,4,NA
"84","A/SWINE/NEWYORK/A01104005/2011",NA,NA,NA,NA,NA,6.58571370877816,6.92461458947681,NA,NA,-0.209429662237961,3.28365807795965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95560588064155,4.89696147836479,NA,NA,NA,NA,NA,6.08480838780436,4.67135279821515,NA,NA,1.49984588708321,2.41305804087425,3.41503749927884,1.93822380241331,2,4,3.4998458870832,1.83007499855769,3.06065468413446,NA,4.83007499855769,4.41503749927884,2,4.34464817138744
"85","A/SWINE/IOWA/A01432826/2013",NA,NA,NA,NA,7.45313342396336,5.00075120805701,5.1876489953106,NA,NA,-0.638056226264759,4.53915881110803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91488338636205,NA,NA,NA,NA,NA,7.08480838780436,6.18652696877944,NA,NA,1.762880292917,2.7714894695006,4.41503749927884,1.58496250072116,2.73696559416621,3,1.91488338636205,3.67807190511264,3.45022149589718,NA,6,1,0.584962500721156,NA
"86","A/SWINE/IOWA/A01290671/2013",NA,NA,7.6667565918848,6.81538329581354,4.71616782979715,5.00075120805701,4.92461458947681,NA,NA,-0.638056226264759,3.95419631038688,NA,5.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91488338636205,NA,NA,NA,NA,NA,6.08480838780436,6.7714894695006,NA,NA,1.08480838780436,1.7714894695006,3.41503749927884,1.58496250072116,2.32192809488736,2,2.49984588708321,2.83007499855769,3.45022149589718,NA,4.41503749927884,0.415037499278844,1,NA
"87","A/SWINE/ILLINOIS/A01555180/2014",NA,NA,NA,NA,5.03809592468451,6.00075120805701,6.33965208875565,NA,NA,1.77698127301408,4.53915881110803,NA,5.83289001416474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17791779219584,NA,NA,NA,NA,NA,6.4998458870832,6.44956137461324,NA,NA,2.49984588708321,3.7714894695006,4.41503749927884,3.58496250072116,4.73696559416621,3.58496250072116,3.762880292917,4.41503749927884,4.77214959078454,NA,6,3.41503749927884,2.26303440583379,NA
