seq	rf	ada	mlp	ens	rfstd	adastd	mlpstd	ensstd
a/bangkok/01/1979	0.8385	0.8496	0.8625	0.8461	0.9795	0.9866	1.0262	0.9876
a/beijing/32/1992	1.332	1.338	1.3719	1.3418	1.5058	1.5169	1.5366	1.5129
a/fujian/411/2002	1.3485	1.4137	1.3969	1.3804	1.3298	1.3799	1.3088	1.3308
a/wisconsin/67/2005	1.3908	1.4462	1.3916	1.4048	1.5208	1.5446	1.5169	1.5209
a/brisbane/10/2007	1.2553	1.2715	1.2367	1.2506	1.4476	1.4612	1.4077	1.4313
a/perth/16/2009	1.2924	1.2962	1.2708	1.2817	1.5733	1.5528	1.548	1.553
a/victoria/361/2011	1.1719	1.2034	1.12	1.1569	1.3984	1.4179	1.3169	1.3696
a/switzerland/9715293/2013	1.0983	1.0957	1.0691	1.0718	1.2622	1.2617	1.2477	1.2385
a/hongkong/4801/2014	1.0416	1.0073	1.0721	1.0373	1.0736	1.0179	1.0782	1.0468
a/swine/newyork/a01104005/2011	1.5314	1.536	1.5188	1.5179	1.5688	1.5768	1.483	1.5324
a/swine/iowa/a01480656/2014	1.2515	1.2333	1.3048	1.2569	1.5101	1.4928	1.5509	1.5112
a/swine/missouri/a01476459/2012	1.2007	1.1689	1.1571	1.1717	1.3585	1.3388	1.266	1.316
a/swine/missouri/a01410819/2014	1.5407	1.5452	1.469	1.5153	1.7185	1.7252	1.7023	1.709
a/swine/ohio/16tosu4788/2016	1.057	1.0869	1.1834	1.1064	1.3637	1.3391	1.4158	1.367
a/swine/ohio/a01354299/2017	1.4775	1.409	1.472	1.4528	1.3301	1.2858	1.2574	1.2791
a/swine/oklahoma/a02218157/2017	1.0972	1.1522	0.979	1.0761	1.2412	1.2634	1.1322	1.2023
a/wuhan/359/1995	1.1796	1.194	1.0959	1.1493	1.4425	1.4364	1.3441	1.3917
a/swine/texas/4199-2/1998	1.5934	1.5733	1.591	1.5815	1.53	1.5112	1.475	1.4986
a/swine/minnesota/02782/2009	1.0274	1.0513	1.0393	1.0346	1.2277	1.2557	1.2388	1.2307
a/swine/indiana/a01729045/2016	1.034	1.0652	1.0701	1.0451	1.2584	1.2937	1.2787	1.2703
a/swine/nebraska/a01567651/2015	1.2309	1.1794	1.2887	1.2311	1.6057	1.5633	1.6648	1.6031
a/swine/alberta/sd0038/2014	1.3294	1.3115	1.4489	1.3507	1.4246	1.3739	1.4558	1.4096
a/swine/alberta/sd0049/2014	1.1913	1.1197	1.3165	1.2092	1.2207	1.1414	1.2898	1.2077
a/swine/saskatchewan/sd0059/2014	1.8579	1.7472	1.9525	1.8409	1.6567	1.6427	1.5092	1.5965
a/swine/saskatchewan/sd0065/2014	1.7566	1.75	1.764	1.7563	1.5491	1.5058	1.4282	1.4899
a/swine/saskatchewan/sd0069/2015	1.5522	1.6701	1.64	1.6208	1.4787	1.5427	1.5515	1.5214
a/swine/denmark/15164-1-p1/2014	1.1496	1.1693	1.31	1.1823	1.3065	1.3596	1.4043	1.3483
a/swine/mexico/8630565/2011	1.0655	1.036	1.0308	1.0441	1.1422	1.1315	1.1256	1.1257
a/swine/mexico/8630459/2011	1.1467	1.2264	1.2141	1.1957	1.2935	1.3997	1.3516	1.345
a/swine/mexico/9890611/2013	1.756	1.6771	1.5088	1.6473	1.6767	1.7538	1.6616	1.6902
a/swine/mexico/84706352130/2015	1.0958	1.1623	1.0514	1.1032	0.9306	1.1193	1.0211	1.0148
a/swine/mexico/985778/2013	1.1716	1.2019	1.098	1.1489	1.1978	1.2595	1.0762	1.1698
a/swine/mexico/avx36/2012	1.4782	1.4289	1.3129	1.4067	1.7032	1.683	1.6133	1.6625
a/swine/mexico/avx57/2013	1.5765	1.5385	1.4858	1.5336	1.4869	1.4645	1.3554	1.4307
a/swine/mexico/avx53/2013	0.7295	0.6992	0.677	0.6973	0.8486	0.8057	0.763	0.7833
a/turkey/ohio/313053/2004	1.172	1.1748	1.1996	1.1768	1.4355	1.4448	1.4285	1.4304
a/swine/mexico/avx26/2012	1.452	1.591	1.4106	1.4464	1.6728	1.7835	1.6773	1.701
a/swine/mexico/avx15/2012	1.4816	1.4799	1.4185	1.46	1.7588	1.7857	1.6956	1.7413
a/moscow/10/1999	1.3544	1.3245	1.2159	1.2965	1.1052	1.0818	1.0152	1.0568
a/shanghai/11/1987	1.6305	1.6225	1.5767	1.6097	1.8878	1.8697	1.8274	1.8571
a/sichuan/02/1987	1.346	1.337	1.3261	1.3346	1.6378	1.6103	1.6093	1.6107
a/portchalmers/1/1973	1.0137	1.0184	1.0582	1.0157	1.1916	1.2208	1.2777	1.2215
a/swine/michigan/a01104095/2016	1.1708	1.201	1.2625	1.2085	1.1622	1.1853	1.2755	1.2022
a/beijing/353/1989	1.2157	1.2512	1.2014	1.2226	1.2805	1.3045	1.2451	1.2703
a/sydney/5/1997	1.1679	1.1554	1.2323	1.1816	1.3845	1.3629	1.3973	1.3725
a/texas/1/1977	0.8473	0.855	0.8974	0.8659	1.0501	1.0472	1.0981	1.0553
a/philippines/2/1982	0.9676	1.0053	0.9629	0.9607	1.3098	1.347	1.2656	1.2923
a/leningrad/360/1986	1.3812	1.3651	1.3189	1.348	1.5941	1.5714	1.4962	1.5411
a/swine/texas/4199-1/1998	1.3106	1.2768	1.3397	1.3076	1.5511	1.5217	1.5624	1.5401
a/swine/colorado/23619/1999	1.1072	1.0956	1.1391	1.1103	1.4115	1.3859	1.4354	1.4039
a/swine/minnesota/1146/2006	1.2139	1.2119	1.1726	1.1817	1.2397	1.2799	1.2271	1.2438
a/swine/iowa/1700/2007	1.4853	1.4725	1.4332	1.4595	1.6512	1.6093	1.5813	1.6099
a/swine/minnesota/2782/2009	1.3132	1.326	1.3577	1.3253	1.5658	1.6211	1.6174	1.5952
a/swine/illinois/02970/2009	0.9542	0.9371	0.9029	0.9262	1.111	1.1084	1.054	1.0833
a/swine/pennsylvania/a01076777/2010	1.6109	1.6193	1.6252	1.6185	1.7515	1.7359	1.7319	1.7357
a/indiana/8/2011	1.2386	1.2164	1.169	1.2053	1.4241	1.4243	1.3318	1.3855
a/swine/indiana/a00968373/2012	1.5301	1.5206	1.4345	1.4858	1.8121	1.8057	1.7262	1.7691
a/swine/illinois/a01241469/2012	1.1792	1.1766	1.0597	1.1352	1.1487	1.1548	1.0579	1.0956
a/swine/michigan/a01259000/2012	0.9743	1.0109	0.9141	0.9508	1.152	1.1741	1.0852	1.1218
a/swine/indiana/a01202866/2011	1.8375	1.8548	1.8409	1.8428	1.4262	1.4375	1.4451	1.4299
a/swine/illinois/a01201606/2011	1.1033	1.1354	1.1282	1.12	1.3142	1.3378	1.3195	1.3152
a/swine/iowa/a01202613/2011	1.3253	1.3476	1.2965	1.3158	1.577	1.6075	1.5171	1.5591
a/swine/iowa/a01202889/2011	1.2804	1.4143	1.2353	1.3083	1.5073	1.6054	1.4963	1.5315
a/swine/iowa/a01203196/2012	0.952	0.9805	1.0418	0.9684	1.151	1.2026	1.2278	1.1767
a/swine/iowa/a01049750/2011	1.5003	1.527	1.4567	1.4906	1.6006	1.6044	1.6019	1.5955
a/swine/texas/a01049914/2011	0.9689	0.9847	0.9303	0.9552	1.2377	1.2442	1.1965	1.2176
a/swine/illinois/a01241066/2012	1.3952	1.5194	1.4721	1.4582	1.4688	1.5737	1.5057	1.5079
a/swine/nebraska/a01241171/2012	1.934	2.0175	1.934	1.9618	1.577	1.5902	1.5778	1.5761
a/swine/iowa/a01203121/2012	1.1702	1.2196	1.1809	1.1903	1.3796	1.3924	1.3175	1.3571
a/swine/iowa/a01300195/2012	1.6991	1.6256	1.6616	1.6487	1.7771	1.7004	1.681	1.7146
a/swine/minnesota/a01125993/2012	1.0584	1.0467	1.0762	1.0605	1.1712	1.144	1.1475	1.1448
a/swine/minnesota/a01300213/2012	1.163	1.2122	1.2666	1.2112	1.525	1.5398	1.6165	1.5538
a/swine/minnesota/a01327922/2012	1.1516	1.1576	1.1444	1.151	1.3443	1.385	1.445	1.3871
a/swine/iowa/a01432500/2013	1.2715	1.318	1.2991	1.2894	1.5024	1.5253	1.5203	1.5076
a/swine/minnesota/a01432544/2013	1.6382	1.5894	1.6283	1.6181	1.9693	1.9481	1.9403	1.9471
a/swine/minnesota/a01280592/2013	1.6918	1.6836	1.6458	1.6697	2.0863	2.0734	2.0333	2.0595
a/swine/north_carolina/a01432566/2013	1.6851	1.6263	1.6073	1.6305	1.9235	1.8518	1.7663	1.8409
a/swine/michigan/a01203498/2012	1.2421	1.2548	1.2603	1.2294	1.3568	1.4012	1.3416	1.3615
a/swine/nebraska/a01271549/2012	3.4676	3.447	3.5276	3.4807	1.9052	1.9655	2.0818	1.9797
a/swine/iowa/a01432826/2013	1.5486	1.5792	1.3858	1.5045	1.6902	1.7501	1.575	1.6677
a/swine/iowa/a01290671/2013	1.413	1.4405	1.4002	1.4138	1.4888	1.5432	1.5046	1.5084
a/swine/illinois/a01555180/2014	0.9367	0.8943	0.8205	0.8839	1.103	1.0333	0.8877	0.9993
a/swine/arkansas/a01840240/2014	1.3419	1.3832	1.2488	1.3247	1.3498	1.4262	1.266	1.3425
a/swine/illinois/a01240784/2012	1.3132	1.3228	1.2891	1.3056	1.529	1.5692	1.5148	1.5314
a/swine/illinois/a01327868/2012	1.8537	1.7698	1.9163	1.8466	1.6793	1.6033	1.6776	1.6494
a/swine/illinois/a01493027/2014	2.0358	2.119	2.0833	2.0793	1.879	1.9585	1.9077	1.9124
a/swine/illinois/a01840351/2015	1.176	1.194	1.2315	1.2005	1.0603	1.119	1.0942	1.085
a/swine/illinois/a01475273/2014	1.5209	1.6323	1.4596	1.5355	1.4642	1.538	1.3858	1.4542
a/swine/illinois/a01503899/2014	1.7079	1.7914	1.6755	1.7219	1.6085	1.6788	1.5136	1.5921
a/swine/illinois/a01489882/2015	1.2987	1.2685	1.2991	1.2855	1.3768	1.3073	1.2956	1.3174
a/swine/illinois/a01502036/2014	1.4732	1.4703	1.4126	1.4511	1.656	1.6144	1.6225	1.6231
a/swine/wyoming/a01445305/2013	1.376	1.3652	1.3533	1.3558	1.6955	1.7128	1.6867	1.6941
a/swine/wyoming/a01397400/2013	1.2101	1.2388	1.2593	1.2361	1.3824	1.4211	1.464	1.417
a/swine/wyoming/a01444566/2013	1.3556	1.3034	1.4222	1.3588	1.7616	1.7388	1.8721	1.7879
a/swine/wyoming/a01381202/2013	0.9447	0.9207	0.9801	0.9369	1.1264	1.1413	1.2028	1.1496
a/swine/nebraska/a01493501/2014	0.8959	0.9172	0.9506	0.9099	1.1081	1.1018	1.1661	1.1177
a/swine/minnesota/a01366992/2014	1.2484	1.259	1.2089	1.2338	1.4468	1.4446	1.4316	1.4341
a/swine/indiana/a01260466/2014	1.0449	1.0362	1.0401	1.0248	1.2772	1.2906	1.2074	1.2412
a/swine/north_carolina/a01410118/2014	1.3277	1.2787	1.3143	1.3069	1.5946	1.5795	1.5406	1.563
a/swine/north_carolina/a01410709/2014	0.9825	0.9155	0.9515	0.9473	1.2276	1.2034	1.2563	1.2227
a/swine/iowa/a01501685/2014	1.0893	1.0848	1.0362	1.0499	1.2102	1.2739	1.1724	1.2128
a/swine/illinois/a01327903/2012	1.4766	1.4589	1.506	1.4596	1.6085	1.6304	1.7638	1.6611
a/swine/illinois/a00843193/2014	1.1536	1.1435	1.1944	1.1401	1.4228	1.4281	1.4023	1.4071
a/swine/wyoming/a01444562/2013	1.3418	1.3608	1.3157	1.3285	1.6759	1.7299	1.6236	1.6659
a/swine/indiana/a01260591/2014	0.9526	0.9149	0.951	0.9327	1.205	1.168	1.1903	1.1857
a/swine/california/a01459016/2015	0.9962	0.9798	1.0346	1.0014	1.2514	1.253	1.2899	1.2604
a/swine/minnesota/a01847477/2015	0.9006	0.8564	0.9442	0.9004	1.076	1.009	1.087	1.0551
a/swine/illinois/a02076652/2015	1.0874	1.12	1.0668	1.0907	1.0342	1.0696	1.0307	1.0316
a/swine/iowa/a01733626/2016	1.0931	1.0963	1.0406	1.0573	1.2716	1.312	1.2409	1.2634
a/swine/minnesota/a01365586/2013	0.7127	0.8742	0.8416	0.7966	0.9562	1.0568	1.0156	1.0038
a/swine/iowa/a01432770/2013	1.3003	1.2817	1.2243	1.266	1.4347	1.3604	1.3984	1.3901
a/swine/illinois/a01728585/2015	1.854	1.8645	1.8863	1.8683	2.0607	2.0659	2.0547	2.0575
a/swine/illinois/a01462475/2015	1.6252	1.6439	1.5961	1.6217	1.9145	1.9178	1.8681	1.8969
a/swine/indiana/a01812162/2016	0.8771	0.8995	0.9686	0.9151	0.8064	0.8532	0.8635	0.8289
a/swine/illinois/a01475803/2014	1.1182	1.1238	1.2124	1.1393	1.1347	1.0975	1.2166	1.1453
a/swine/minnesota/a01480518/2014	1.2214	1.158	1.2106	1.1944	1.2451	1.2062	1.2231	1.2181
a/swine/north_carolina/a01476722/2014	1.4575	1.4482	1.4528	1.4499	1.6537	1.6391	1.684	1.6532
a/swine/indiana/a01260268/2013	1.8474	1.8212	1.7914	1.8136	2.1574	2.1471	2.0661	2.1193
a/swine/minnesota/a01049936/2011	1.3509	1.3373	1.3177	1.3282	1.523	1.5408	1.4233	1.4925
a/swine/minnesota/a01277201/2012	1.5309	1.6034	1.6205	1.5849	1.6716	1.7298	1.6911	1.6881
a/swine/north_carolina/a01730588/2016	1.1669	1.2212	1.1466	1.1742	1.3597	1.4054	1.3128	1.3519
a/swine/iowa/a01730108/2016	1.0154	1.0301	0.9349	0.9935	1.2996	1.2612	1.2579	1.2684
a/swine/minnesota/a01471950/2015	1.2084	1.2268	1.0048	1.1466	1.1691	1.1847	1.0036	1.1101
a/swine/oklahoma/a01776961/2016	1.0715	1.0407	1.1402	1.0841	1.1857	1.2043	1.161	1.1782
a/swine/north_carolina/a01732564/2016	0.7057	0.7549	0.7491	0.7306	0.9042	0.9644	0.939	0.9239
a/swine/iowa/a01729543/2016	1.4322	1.3396	1.3898	1.3872	1.6693	1.5967	1.6686	1.6373
a/swine/nebraska/a01478775/2015	1.3877	1.4464	1.4749	1.4363	1.5046	1.6302	1.6336	1.5828
a/swine/illinois/a01555638/2015	1.5001	1.4725	1.3434	1.4254	1.209	1.2101	1.1128	1.1694
