,A/WUHAN/359/1995,A/WUHAN/359/1995,A/SYDNEY/5/1997,A/SYDNEY/5/1997,A/MOSCOW/10/1999,A/MOSCOW/10/1999,A/FUJIAN/411/2002,A/FUJIAN/411/2002,A/WISCONSIN/67/2005,A/WISCONSIN/67/2005,A/BRISBANE/10/2007,A/BRISBANE/10/2007,A/PERTH/16/2009,A/PERTH/16/2009,A/VICTORIA/361/2011,A/VICTORIA/361/2011,A/SWINE/TEXAS/4199-1/1998,A/SWINE/TEXAS/4199-1/1998,A/SWINE/COLORADO/23619/1999,A/SWINE/COLORADO/23619/1999,A/SWINE/MINNESOTA/1146/2006,A/SWINE/MINNESOTA/1146/2006,A/SWINE/IOWA/1700/2007,A/SWINE/IOWA/1700/2007,A/SWINE/MINNESOTA/2782/2009,A/SWINE/MINNESOTA/2782/2009,A/SWINE/ILLINOIS/2970/2009,A/SWINE/ILLINOIS/2970/2009,A/INDIANA/8/2011,A/INDIANA/8/2011,A/SWINE/NEWYORK/A01104005/2011,A/SWINE/NEWYORK/A01104005/2011,A/SWINE/INDIANA/A00968373/2012,A/SWINE/INDIANA/A00968373/2012,A/SWINE/INDIANA/A01202866/2011,A/SWINE/INDIANA/A01202866/2011,A/SWINE/ILLINOIS/A01201606/2011,A/SWINE/ILLINOIS/A01201606/2011,A/SWINE/IOWA/A01202613/2011,A/SWINE/IOWA/A01202613/2011,A/SWINE/IOWA/A01049750/2011,A/SWINE/IOWA/A01049750/2011,A/SWINE/TEXAS/A01049914/2011,A/SWINE/TEXAS/A01049914/2011,A/SWINE/MICHIGAN/A01432375/2013,A/SWINE/MICHIGAN/A01432375/2013,A/SWINE/IOWA/A01432500/2013,A/SWINE/IOWA/A01432500/2013,A/SWINE/MINNESOTA/A01432544/2013,A/SWINE/MINNESOTA/A01432544/2013,A/SWINE/MINNESOTA/A01280592/2013,A/SWINE/MINNESOTA/A01280592/2013,A/TURKEY/OHIO/313053/2004,A/TURKEY/OHIO/313053/2004,A/SWINE/IOWA/A01480656/2014,A/SWINE/IOWA/A01480656/2014,A/SWINE/WYOMING/A01444562/2013,A/SWINE/WYOMING/A01444562/2013,A/SWINE/PENNSYLVANIA/A01076777/2010,A/SWINE/PENNSYLVANIA/A01076777/2010,A/SWINE/MISSOURI/A01410819/2014,A/SWINE/MISSOURI/A01410819/2014
A/WUHAN/359/1995,320,905,160,40,20,20,14,14,20,20,14,14,14,14,20,20,640,640,80,80,160,160,226,160,226,80,<10,<20,10,14,40,20,20,57,28,80,10,10,40,80,40,57,57,57,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SYDNEY/5/1997,160,905,1810,1810,453,320,453,640,14,14,57,14,<20,10,<10,<10,57,57,1280,1280,640,320,160,40,320,40,<10,<10,<10,10,<10,<20,10,<10,<10,<10,<10,<10,10,28,10,<10,<10,<20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/MOSCOW/10/1999,10,40,320,160,2560,1280,640,453,80,80,160,40,<20,20,<10,<20,160,80,1280,1280,1280,640,160,40,453,57,<10,<10,<20,10,<10,10,<10,<20,<20,14,<10,<10,<10,40,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,10
A/FUJIAN/411/2002,20,40,<10,<10,160,80,2560,2560,905,160,1280,1280,160,226,269,320,<10,14,1810,1810,57,20,<20,<20,14,<20,<10,<10,<10,<10,<10,<10,<20,20,<20,<20,<10,<10,14,20,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1280,5120
A/WISCONSIN/67/2005,160,640,<10,<10,320,160,640,640,5120,2560,5120,5120,640,1280,1280,2153,<20,<10,640,905,80,14,14,<20,10,10,<10,<10,<20,<20,<10,<10,<10,<20,<20,<20,<10,<20,<20,20,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,320,640
A/BRISBANE/10/2007,40,113,<10,<10,40,20,113,80,1280,640,5120,2560,160,160,320,320,<10,<10,80,80,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/PERTH/16/2009,10,80,<10,<10,10,10,14,20,160,226,2560,2560,5120,3620,4305,4305,<10,<20,28,28,57,160,20,<10,<20,<10,<10,<10,<20,10,113,160,160,640,<10,<10,<10,14,57,226,453,<10,<10,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,80,160
A/VICTORIA/361/2011,<20,48,<10,<10,<20,<20,<20,17,160,190,1076,1522,1076,2153,5120,5120,<10,<10,57,113,24,67,<20,<10,<10,<10,<10,<10,<20,<20,135,226,135,269,<10,<10,14,<20,24,80,190,<10,<10,<20,<10,<10,<20,<10,160,80,80,160,*,*,*,*,*,*,10,10,160,320
A/SWINE/TEXAS/4199/1/1998,226,640,57,14,28,40,<20,<10,10,<20,20,<10,<20,10,<10,<10,3620,2560,80,113,80,113,160,80,320,320,<10,10,<10,10,40,40,<10,20,20,40,<10,<20,80,14,40,57,40,80,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,10
A/SWINE/COLORADO/23619/1999,50,63,320,*,*,320,1280,1280,40,20,160,80,<20,*,<10,<20,226,160,*,*,254,806,640,202,403,320,<10,10,<20,<20,20,*,<20,40,63,*,<10,<20,320,160,<20,40,40,20,*,*,*,*,*,*,40,40,*,*,*,*,*,*,10,10,1280,1280
A/SWINE/MINNESOTA/1146/2006,<10,16,<10,<10,40,20,<20,<20,<20,<20,<20,<20,<20,20,*,<20,50,14,40,32,*,*,1280,453,1613,1613,28,80,40,63,269,226,320,403,*,67,<20,16,320,508,202,80,226,80,40,80,80,80,*,*,*,*,320,160,*,*,*,*,*,*,*,*
A/SWINE/IOWA/1700/2007,<10,20,<10,<10,10,<10,<10,<10,<10,<10,<10,<10,<10,<20,<10,<20,57,28,28,28,2560,1810,3620,1810,1810,1810,113,160,57,40,226,160,226,113,<20,57,<10,<10,226,453,113,57,57,40,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,10
A/SWINE/MINNESOTA/2782/2009,14,40,<10,<10,28,<10,<10,<10,<10,<10,<10,<10,<10,10,<10,<10,453,57,80,40,5120,2560,5120,3620,5120,3620,453,453,113,80,640,320,320,320,80,226,10,10,640,640,320,226,226,113,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,<10
A/SWINE/ILLINOIS/2970/2009,<10,10,<10,<10,14,<10,<10,<10,<10,<10,<10,<10,<10,<20,<10,<10,28,20,40,<20,640,640,905,453,1280,1810,320,320,28,40,40,40,113,226,<10,80,<10,<10,113,320,28,14,14,14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/PENNSYLVANIA/A01076777/2010,14,10,<10,<10,20,<20,<20,<20,<10,<20,14,<10,28,40,<20,50,160,80,40,80,3225,4064,3620,2560,3620,1280,80,113,1280,1280,1613,1613,806,1613,160,202,127,50,640,2032,403,32,101,63,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/INDIANA/8/2011,10,10,<10,<10,28,14,<10,<10,<10,<10,20,<10,14,28,10,40,40,20,<10,<20,1280,1280,905,905,905,1810,<20,<20,640,1280,1280,1280,640,905,28,57,20,<20,57,226,57,<20,28,20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,<10
A/SWINE/NEWYORK/A01104005/2011,10,16,<10,<10,10,10,<20,<20,<10,<20,20,<20,10,14,<20,32,320,40,<20,16,1280,1280,1280,640,806,806,<10,<20,320,254,806,806,453,2560,202,254,14,<10,113,640,57,10,80,63,80,160,80,160,*,*,*,*,160,20,*,*,*,*,*,*,*,*
A/SWINE/INDIANA/A00968373/2012,40,40,<20,<20,28,40,10,10,<20,14,113,14,28,40,24,95,640,113,40,40,2560,2560,1280,1280,2560,3620,40,80,640,640,2560,2560,1280,5120,453,453,113,28,320,1280,453,57,226,113,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,10
A/SWINE/ILLINOIS/A01241469/2012,10,20,<10,<10,<20,<10,<10,<10,<10,<10,<20,<10,10,20,20,80,640,80,10,20,2560,2560,2560,1280,1280,1280,<20,<20,320,320,905,905,640,2560,226,160,20,<10,80,640,160,20,113,80,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/MICHIGAN/A01259000/2012,10,20,<10,<10,<10,<10,<10,<10,<10,<10,10,<10,10,10,<20,20,160,57,10,20,1280,905,905,640,640,640,<10,10,320,453,453,640,320,1810,453,453,40,10,160,1280,160,40,80,80,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/INDIANA/A01202866/2011,<10,14,<10,<10,14,<20,<10,<10,<10,<10,<10,<10,<10,20,20,<20,113,57,40,20,453,640,453,113,80,640,<10,<10,<10,<10,113,160,160,160,3620,3620,<10,<10,57,57,113,57,80,28,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,<10
A/SWINE/ILLINOIS/A01201606/2011,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,40,57,20,68,10,28,20,28,640,640,640,160,226,320,<10,40,160,113,453,905,320,640,57,40,320,160,640,1280,40,10,40,20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,20
A/SWINE/IOWA/A01202613/2011,<10,14,<20,10,*,28,<10,<10,<10,10,<20,<10,20,40,14,40,57,10,226,453,3620,2560,2560,640,1280,320,28,40,113,57,320,226,320,320,40,80,40,20,1810,3620,320,57,57,28,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/IOWA/A01202889/2011,<10,<20,<10,<10,10,10,<10,<10,<10,<10,<10,<10,20,40,20,57,<20,40,20,40,905,1280,1810,905,905,905,57,80,160,160,640,640,160,226,*,57,113,80,905,1810,160,28,57,14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/IOWA/A01203196/2012,10,160,<10,<10,<10,<20,<10,<10,<10,<10,<10,<10,<10,10,<10,<20,113,160,40,80,226,320,320,80,160,320,28,40,<10,<10,20,14,14,80,80,453,10,14,453,226,160,80,57,20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/IOWA/A01049750/2011,40,80,14,10,57,40,<10,<20,10,10,20,10,10,10,<10,10,640,160,80,80,5120,2560,2560,1280,3620,2560,40,80,80,80,905,640,320,905,226,453,20,<10,640,640,640,640,640,320,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,<10
A/SWINE/TEXAS/A01049914/2011,28,80,<20,<20,57,28,<10,<10,<10,<10,10,<10,<10,10,<10,14,640,113,80,40,5120,3620,2560,1280,2560,2560,40,80,80,80,640,320,320,640,160,453,14,<10,640,640,640,640,640,453,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,<10
A/SWINE/ILLINOIS/A01241066/2012,40,80,<10,<10,20,20,<10,<10,<10,<10,10,<10,<20,20,<10,10,640,80,57,80,5120,2560,2560,1280,2560,2560,40,113,160,160,640,320,320,640,160,320,20,<10,453,320,640,320,453,320,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/NEBRASKA/A01241171/2012,57,113,<10,<10,14,28,14,28,10,10,<20,14,10,<20,<10,<20,80,160,14,<20,905,453,57,14,57,40,<10,<10,20,20,<20,20,10,<20,<10,20,<10,<10,<10,10,113,28,<10,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/IOWA/A01203121/2012,20,40,<10,<10,20,20,<10,<10,<10,<10,10,<10,<10,10,<10,<20,453,80,57,57,2560,2560,1280,1280,1810,2560,28,40,113,113,320,320,226,320,40,226,14,<10,453,226,640,320,453,320,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/IOWA/A01300195/2012,<10,10,<10,<10,<20,<10,<10,10,40,20,226,640,160,160,160,453,57,40,<20,10,640,640,640,320,640,905,<10,14,226,226,1280,905,640,1280,160,320,160,57,320,1280,226,80,160,20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/MINNESOTA/A01125993/2012,10,80,20,<10,<20,<20,<20,14,<10,<10,*,80,40,80,20,40,80,80,<10,<20,226,113,113,113,113,57,<10,<10,80,20,160,160,57,80,80,80,<10,10,20,160,57,28,40,<10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/MINNESOTA/A01300213/2012,<10,<10,<10,<10,<10,<10,<20,10,<10,<10,10,14,40,80,40,80,20,10,<20,20,640,640,640,320,640,453,20,57,320,320,640,640,320,640,40,80,40,20,320,640,57,10,28,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/MINNESOTA/A01327922/2012,<10,<10,<10,<10,<20,<10,<10,10,<10,<20,28,113,40,80,40,160,14,20,14,20,905,453,905,453,640,640,<20,40,160,80,640,640,640,1280,160,160,57,20,640,905,113,14,57,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
A/SWINE/MICHIGAN/A01432375/2013,*,*,*,*,*,*,*,*,*,*,*,*,*,*,40,10,*,*,*,*,320,640,*,*,*,*,*,*,*,*,160,160,320,640,2560,2560,10,10,80,160,80,80,160,80,*,*,10,40,10,10,160,40,*,*,*,*,*,*,*,*,*,*
A/SWINE/IOWA/A01432500/2013,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,10,*,*,*,*,640,160,*,*,*,*,*,*,*,*,10,20,10,10,40,40,<10,<10,80,40,40,10,20,20,10,10,2560,2560,<10,<10,160,20,*,*,*,*,*,*,*,*,*,*
A/SWINE/MINNESOTA/A01432544/2013,*,*,*,*,*,*,*,*,*,*,*,*,*,*,80,160,*,*,*,*,1280,1280,*,*,*,*,*,*,*,*,1280,640,1280,1280,320,320,320,160,640,2560,160,80,160,40,640,320,40,40,5120,5120,2560,5120,*,*,*,*,*,*,*,*,*,*
A/SWINE/MINNESOTA/A01280592/2013,*,*,*,*,*,*,*,*,*,*,*,*,*,*,40,80,*,*,*,*,2560,1280,*,*,*,*,*,*,*,*,1280,1280,640,2560,1280,1280,80,80,320,1280,1280,160,320,40,20,10,20,20,320,320,2560,5120,*,*,*,*,*,*,*,*,*,*
A/SWINE/MINNESOTA/1146/2006,<20,<20,<10,<10,40,40,<20,<20,<20,<20,<20,*,10,20,<20,<20,54,*,49,44,6089,3044,1280,1280,1413,*,80,160,59,72,190,174,226,320,48,87,<20,10,640,905,226,80,160,73,34,87,95,95,113,57,160,*,285,90,40,25,40,53,*,*,<10,10
A/SWINE/WYOMING/A01444562/2013,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,160,*,*,*,*,1280,1280,*,*,*,*,*,*,*,*,640,1280,160,640,20,40,<10,10,20,320,80,<10,40,20,20,20,640,640,40,160,640,640,*,*,*,*,*,*,*,*,*,*
A/SWINE/MINNESOTA/A01125993/2012,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,20,*,*,*,*,160,80,*,*,*,*,*,*,*,*,80,80,80,160,160,80,<10,20,20,640,40,20,20,10,160,80,320,160,320,320,640,1280,*,*,*,*,*,*,*,*,*,*
A/SWINE/NORTH CAROLINA/A01432566/2013,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20,20,*,*,*,*,320,80,*,*,*,*,*,*,*,*,160,320,20,160,80,320,10,10,20,10,40,20,20,<10,320,1280,640,320,<10,40,20,20,*,*,*,*,*,*,*,*,*,*
A/SWINE/MICHIGAN/A01203498/2012,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,10,*,*,*,*,1280,640,*,*,*,*,*,*,*,*,320,80,10,160,80,160,10,20,640,640,160,40,40,10,10,40,160,320,160,40,320,320,*,*,*,*,*,*,*,*,*,*
A/SWINE/NEBRASKA/A01271549/2012,*,*,*,*,*,*,*,*,*,*,*,*,*,*,<10,<10,*,*,*,*,640,320,*,*,*,*,*,*,*,*,10,10,<10,10,10,10,<10,<10,<10,10,10,<10,<10,<10,20,20,1280,1280,<10,<10,20,<10,*,*,*,*,*,*,*,*,*,*
A/TURKEY/OHIO/313053/2004,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,10,*,*,*,*,5120,5120,*,*,*,*,*,*,*,*,640,160,320,320,20,20,10,10,160,640,80,160,320,160,80,80,160,80,80,80,160,320,*,*,*,*,*,*,*,*,*,*
A/SWINE/NEW YORK/A01104005/2011,<20,<20,<10,<10,20,20,<20,<20,<10,<10,<20,<10,20,20,<20,30,263,*,<20,18,1280,1050,1280,640,861,780,20,40,263,238,951,951,320,1280,98,145,20,10,160,320,320,40,72,59,88,177,72,108,320,160,1280,640,143,22,90,101,46,80,*,*,*,*
